bug_id,summary,description,severity_raw,severity,source,created_at,closed_at
synthetic#1,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2023-04-08T15:03:27.065622,2023-04-10T15:03:27.065622
synthetic#2,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2025-06-22T15:03:27.065663,2025-07-27T15:03:27.065663
synthetic#3,crash when accessing memory buffer,crash when accessing memory buffer,major,High,synthetic_severity,2024-05-12T15:03:27.065683,2024-05-28T15:03:27.065683
synthetic#4,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2024-12-07T15:03:27.065701,2025-01-24T15:03:27.065701
synthetic#5,inconsistent results returned from api call,inconsistent results returned from api call,normal,Medium,synthetic_severity,2023-09-17T15:03:27.065715,2023-11-02T15:03:27.065715
synthetic#6,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2024-08-25T15:03:27.065729,2024-11-23T15:03:27.065729
synthetic#7,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2024-05-13T15:03:27.065742,2024-08-09T15:03:27.065742
synthetic#8,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2023-09-13T15:03:27.065753,2023-11-30T15:03:27.065753
synthetic#9,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2024-07-18T15:03:27.065764,2024-09-05T15:03:27.065764
synthetic#10,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2024-09-21T15:03:27.065775,2024-10-17T15:03:27.065775
synthetic#11,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2024-09-16T15:03:27.065792,2024-10-25T15:03:27.065792
synthetic#12,critical security vulnerability allows privilege escalation,critical security vulnerability allows privilege escalation,critical,High,synthetic_severity,2025-03-04T15:03:27.065807,2025-04-09T15:03:27.065807
synthetic#13,typo in documentation,typo in documentation,minor,Low,synthetic_severity,2025-06-15T15:03:27.065825,2025-07-30T15:03:27.065825
synthetic#14,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2024-08-22T15:03:27.065837,2024-10-06T15:03:27.065837
synthetic#15,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2025-05-07T15:03:27.065849,2025-06-14T15:03:27.065849
synthetic#16,minor usability enhancement requested,minor usability enhancement requested,minor,Low,synthetic_severity,2024-07-24T15:03:27.065860,2024-08-06T15:03:27.065860
synthetic#17,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2025-11-26T15:03:27.065871,2025-12-15T15:03:27.065871
synthetic#18,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2023-12-08T15:03:27.065882,2023-12-28T15:03:27.065882
synthetic#19,inconsistent results returned from api call,inconsistent results returned from api call,normal,Medium,synthetic_severity,2023-03-21T15:03:27.065893,2023-04-21T15:03:27.065893
synthetic#20,typo in documentation,typo in documentation,trivial,Low,synthetic_severity,2025-11-25T15:03:27.065904,2026-01-17T15:03:27.065904
synthetic#21,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2024-08-23T15:03:27.065916,2024-10-12T15:03:27.065916
synthetic#22,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2025-11-16T15:03:27.065926,2025-12-09T15:03:27.065926
synthetic#23,outage impacting multiple users,outage impacting multiple users,critical,High,synthetic_severity,2024-10-15T15:03:27.065937,2024-12-29T15:03:27.065937
synthetic#24,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2026-01-08T15:03:27.065951,2026-01-11T15:03:27.065951
synthetic#25,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2023-01-09T15:03:27.065962,2023-02-26T15:03:27.065962
synthetic#26,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2025-08-22T15:03:27.065972,2025-10-17T15:03:27.065972
synthetic#27,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2025-12-08T15:03:27.065983,2025-12-30T15:03:27.065983
synthetic#28,blocking production deployment,blocking production deployment,critical,High,synthetic_severity,2023-05-21T15:03:27.065993,2023-08-13T15:03:27.065993
synthetic#29,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2026-01-10T15:03:27.066006,2026-01-25T15:03:27.066006
synthetic#30,blocking production deployment,blocking production deployment,critical,High,synthetic_severity,2024-06-20T15:03:27.066016,2024-08-15T15:03:27.066016
synthetic#31,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2025-10-16T15:03:27.066026,2026-01-11T15:03:27.066026
synthetic#32,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2025-12-16T15:03:27.066036,2026-01-21T15:03:27.066036
synthetic#33,minor layout bug in window rendering,minor layout bug in window rendering,minor,Low,synthetic_severity,2025-03-11T15:03:27.066046,2025-06-07T15:03:27.066046
synthetic#34,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2025-08-17T15:03:27.066057,2025-11-15T15:03:27.066057
synthetic#35,performance slowdown noticed,performance slowdown noticed,normal,Medium,synthetic_severity,2023-07-10T15:03:27.066067,2023-09-03T15:03:27.066067
synthetic#36,inconsistent results returned from api call,inconsistent results returned from api call,normal,Medium,synthetic_severity,2024-05-22T15:03:27.066079,2024-06-30T15:03:27.066079
synthetic#37,ui alignment issue in settings dialog,ui alignment issue in settings dialog,minor,Low,synthetic_severity,2024-02-11T15:03:27.066089,2024-04-23T15:03:27.066089
synthetic#38,incorrect output produced in edge cases,incorrect output produced in edge cases,normal,Medium,synthetic_severity,2025-11-24T15:03:27.066100,2026-01-06T15:03:27.066100
synthetic#39,fails to connect intermittently,fails to connect intermittently,normal,Medium,synthetic_severity,2025-03-17T15:03:27.066110,2025-06-12T15:03:27.066110
synthetic#40,unexpected behavior under specific conditions,unexpected behavior under specific conditions,normal,Medium,synthetic_severity,2025-08-12T15:03:27.066120,2025-09-28T15:03:27.066120
synthetic#41,module fails validation test,module fails validation test,normal,Medium,synthetic_severity,2026-01-16T15:03:27.066131,2026-02-08T15:03:27.066131
synthetic#42,system freeze during execution,system freeze during execution,critical,High,synthetic_severity,2023-07-29T15:03:27.066142,2023-09-13T15:03:27.066142
synthetic#43,partial regression observed after update,partial regression observed after update,normal,Medium,synthetic_severity,2025-11-27T15:03:27.066154,2026-01-13T15:03:27.066154
